0xA805 HRTrapGetAPIVersion
0xA806 HRTrapWinClipRectangle
0xA807 HRTrapWinCopyRectangle
0xA808 HRTrapWinCreateBitmapWindow
0xA809 HRTrapWinCreateOffscreenWindow
0xA80A HRTrapWinCreateWindow
0xA80B HRTrapWinDisplayToWindowPt
0xA80C HRTrapWinDrawBitmap
0xA80D HRTrapWinDrawChar
0xA80E HRTrapWinDrawChars
0xA80F HRTrapWinDrawGrayLine
0xA810 HRTrapWinDrawGrayRectangleFrame
0xA811 HRTrapWinDrawInvertedChars
0xA812 HRTrapWinDrawLine
0xA813 HRTrapWinDrawPixel
0xA814 HRTrapWinDrawRectangle
0xA815 HRTrapWinDrawRectangleFrame
0xA816 HRTrapWinDrawTruncChars
0xA817 HRTrapWinEraseChars
0xA818 HRTrapWinEraseLine
0xA819 HRTrapWinErasePixel
0xA81A HRTrapWinEraseRectangle
0xA81B HRTrapWinEraseRectangleFrame
0xA81C HRTrapWinFillLine
0xA81D HRTrapWinFillRectangle
0xA81E HRTrapWinGetClip
0xA81F HRTrapWinGetDisplayExtent
0xA820 HRTrapWinGetFramesRectangle
0xA821 HRTrapWinGetPixel
0xA822 HRTrapWinGetWindowBounds
0xA823 HRTrapWinGetWindowExtent
0xA824 HRTrapWinGetWindowFrameRect
0xA825 HRTrapWinInvertChars
0xA826 HRTrapWinInvertLine
0xA827 HRTrapWinInvertPixel
0xA828 HRTrapWinInvertRectangle
0xA829 HRTrapWinInvertRectangleFrame
0xA82A HRTrapWinPaintBitmap
0xA82B HRTrapWinPaintChar
0xA82C HRTrapWinPaintChars
0xA82D HRTrapWinPaintLine
0xA82E HRTrapWinPaintLines
0xA82F HRTrapWinPaintPixel
0xA830 HRTrapWinPaintPixels
0xA831 HRTrapWinPaintRectangle
0xA832 HRTrapWinPaintRectangleFrame
0xA833 HRTrapWinRestoreBits
0xA834 HRTrapWinSaveBits
0xA835 HRTrapWinScreenMode
0xA836 HRTrapWinScrollRectangle
0xA837 HRTrapWinSetClip
0xA838 HRTrapWinSetWindowBounds
0xA839 HRTrapWinWindowToDisplayPt
0xA83A HRTrapBmpBitsSize
0xA83B HRTrapBmpSize
0xA83C HRTrapBmpCreate
0xA83D HRTrapFntGetFont
0xA83E HRTrapFntSetFont
0xA83F HRTrapFontSelect
0xA840 HRTrapSystem
0xA841 HRTrapWinGetPixelRGB
0xA842 HRTrapGetInfo
0xA843 HRTrapFntBaseLine
0xA844 HRTrapFntCharHeight
0xA845 HRTrapFntLineHeight
0xA846 HRTrapFntAverageCharWidth
0xA847 HRTrapFntCharWidth
0xA848 HRTrapFntWCharWidth
0xA849 HRTrapFntCharsWidth
0xA84A HRTrapFntWidthToOffset
0xA84B HRTrapFntCharsInWidth
0xA84C HRTrapFntDescenderHeight
0xA84D HRTrapFntLineWidth
0xA84E HRTrapFntWordWrap
0xA84F HRTrapFntWordWrapReverseNLines
0xA850 HRTrapFntGetScrollValues
